size_bytes,target,metric,direct_median,transparent_median,ratio_of_medians_pct,median_paired_delta_pct,min_paired_delta_pct,max_paired_delta_pct
262144,local_nvme,request_p50_us,4117.992,4201.212,2.020888,1.782891,-0.309593,12.608592
262144,local_nvme,request_p95_us,6030.204,6012.923,-0.286574,1.746908,-0.286574,7.478711
262144,local_nvme,storage_wait_us,120189.867,122805.265,2.176055,4.25089,-4.398001,6.414625
262144,remote_nof,get_p50_us,192.48,196.82,2.25478,1.811309,1.746747,2.25478
262144,remote_nof,get_p95_us,207.19,217.43,4.942323,2.203445,1.505382,7.341035
262144,remote_nof,get_p99_us,219.98,238.18,8.273479,1.627421,-2.160697,19.032539
262144,remote_nof,operation_rate,2375.677811,2464.290885,3.730012,4.225875,-3.697748,6.051993
262144,remote_nof,overall_p50_us,192.48,196.82,2.25478,1.811309,1.746747,2.25478
262144,remote_nof,overall_p95_us,278.83,319.15,14.460424,14.075848,13.714808,16.941713
262144,remote_nof,overall_p99_us,344.85,399.68,15.899667,17.509352,6.762908,21.498054
262144,remote_nof,put_p50_us,261.84,298.48,13.993278,13.993278,12.743013,14.652533
262144,remote_nof,put_p95_us,293.971,341.77,16.259767,16.082467,14.34065,31.261247
262144,remote_nof,put_p99_us,36901.767,32735.806,-11.289327,-12.076447,-15.35152,0.885341
262144,remote_nof,remove_p50_us,60.35,59.81,-0.89478,-0.89478,-1.257653,1.731966
262144,remote_nof,remove_p95_us,68.38,69.17,1.155309,1.155309,-4.350356,9.777981
262144,remote_nof,remove_p99_us,86.5,87.5,1.156069,1.156069,-5.810796,10.229172
262144,remote_nof,request_p50_us,1031.681,1158.35,12.277923,12.277923,10.075407,13.737964
262144,remote_nof,request_p95_us,1074.971,1274.91,18.599478,18.006479,17.874776,18.946558
262144,remote_nof,storage_wait_us,62298.01,60057.845,-3.595885,-4.054535,-5.706629,3.839732
