reuse_ratio,trial,trace_sha256,case_id,mode,target,operations,produce,reuse,evict,local,remote,miss,miss_rate,block_hit_rate,request_count,request_hit_rate,p50_latency_us,p95_latency_us,p99_latency_us,request_p50_latency_us,request_p95_latency_us,storage_wait_us,operation_rate,cpu_utilization_pct
0.9,1,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,direct-remote,direct,remote_nof,104,8,88,8,0,104,0,0.0,0.916667,24,0.916667,157.85,240.36,316.46,638.61,955.602,50054.209,2077.747348,
0.9,1,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,no_store,no_store,,104,8,88,8,0,0,0,0.0,0.916667,24,0.916667,1000.0,1000.0,1000.0,4000.0,4000.0,0,1083.333333,
0.9,1,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,transparent-local,transparent,local_nvme,104,8,88,8,104,0,0,0.0,0.916667,24,0.916667,537.04,1080.341,12099.595,2153.39,4585.342,83144.955,1250.827546,
0.9,1,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,transparent-remote,transparent,remote_nof,104,8,88,8,0,104,0,0.0,0.916667,24,0.916667,157.1,268.78,346.35,638.7,1084.85,51107.016,2034.945652,
0.9,2,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,direct-local,direct,local_nvme,104,8,88,8,104,0,0,0.0,0.916667,24,0.916667,537.63,982.201,12086.756,2160.171,4504.882,82215.458,1264.968931,
0.9,2,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,direct-remote,direct,remote_nof,104,8,88,8,0,104,0,0.0,0.916667,24,0.916667,159.36,246.28,311.68,650.57,967.581,53868.562,1930.625139,
0.9,2,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,no_store,no_store,,104,8,88,8,0,0,0,0.0,0.916667,24,0.916667,1000.0,1000.0,1000.0,4000.0,4000.0,0,1083.333333,
0.9,2,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,transparent-local,transparent,local_nvme,104,8,88,8,104,0,0,0.0,0.916667,24,0.916667,535.65,1082.01,12201.236,2165.041,4919.313,83448.201,1246.28211,
0.9,2,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,transparent-remote,transparent,remote_nof,104,8,88,8,0,104,0,0.0,0.916667,24,0.916667,156.36,281.19,380.14,631.9,1104.141,51120.296,2034.417015,
0.9,3,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,direct-local,direct,local_nvme,104,8,88,8,104,0,0,0.0,0.916667,24,0.916667,684.85,1223.251,4396.772,3197.422,5182.872,102071.759,1018.891033,
0.9,3,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,direct-remote,direct,remote_nof,104,8,88,8,0,104,0,0.0,0.916667,24,0.916667,160.44,240.2,320.46,646.372,951.18,49517.082,2100.285312,
0.9,3,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,no_store,no_store,,104,8,88,8,0,0,0,0.0,0.916667,24,0.916667,1000.0,1000.0,1000.0,4000.0,4000.0,0,1083.333333,
0.9,3,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,transparent-local,transparent,local_nvme,104,8,88,8,104,0,0,0.0,0.916667,24,0.916667,540.81,1140.511,10738.445,2163.701,4829.622,81182.491,1281.064411,
0.9,3,5744e30a133292e000147ebfcce85c42e9eca53ca9af6abf3e6cf87a5869ba07,transparent-remote,transparent,remote_nof,104,8,88,8,0,104,0,0.0,0.916667,24,0.916667,161.44,272.6,388.29,649.42,1083.691,55712.258,1866.734606,
