reuse_ratio,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
0.9,2,remote_nof,transparent,transparent-remote,put,8,4582.9035,294.11,34586.527,34586.527
0.9,2,remote_nof,transparent,transparent-remote,remove,8,64.34625,60.48,85.68,85.68
0.9,3,local_nvme,direct,direct-local,get,88,1046.115511,684.85,1048.72,22567.361
0.9,3,local_nvme,direct,direct-local,put,8,1184.663,1026.93,2020.281,2020.281
0.9,3,local_nvme,direct,direct-local,remove,8,67.03625,61.81,91.87,91.87
0.9,3,remote_nof,direct,direct-remote,get,88,162.169466,160.44,174.981,186.821
0.9,3,remote_nof,direct,direct-remote,put,8,4340.873375,247.37,32930.396,32930.396
0.9,3,remote_nof,direct,direct-remote,remove,8,64.89775,60.76,86.36,86.36
0.9,3,,no_store,no_store,noop,8,0.0,0.0,0.0,0.0
0.9,3,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
0.9,3,local_nvme,transparent,transparent-local,get,88,814.692568,540.81,730.811,13520.317
0.9,3,local_nvme,transparent,transparent-local,put,8,1122.609125,992.39,1582.22,1582.22
0.9,3,local_nvme,transparent,transparent-local,remove,8,63.584,59.111,87.44,87.44
0.9,3,remote_nof,transparent,transparent-remote,get,88,162.702716,161.44,175.12,188.08
0.9,3,remote_nof,transparent,transparent-remote,put,8,5110.085,277.47,38839.979,38839.979
0.9,3,remote_nof,transparent,transparent-remote,remove,8,64.217375,60.77,86.289,86.289
