scenario,trial,target,anchor_position,case_id,elapsed_sec,system_cpu_pct,nic_rx_Bps,nic_tx_Bps,client_block_util_pct,exit_code,local_temperature_c_before,target_temperature_c_before,local_temperature_c_after,target_temperature_c_after
idle,3,remote_nof,,transparent-remote,2.494778129272163,0.13153773880363295,0.0,0.0,0.0,0,37.85000000000002,19.0,37.85000000000002,19.0
idle,4,local_nvme,,direct-local,14.700830520130694,0.058464457595994654,0.0,0.0,0.10203505155344547,0,37.85000000000002,20.0,36.85000000000002,20.0
idle,4,remote_nof,,direct-remote,3.538082906976342,0.09441410800753104,0.0,0.0,0.0,0,37.85000000000002,19.0,37.85000000000002,19.0
idle,4,,,no_store,0.09239744395017624,0.23236163920574568,0.0,0.0,0.0,0,37.85000000000002,20.0,37.85000000000002,20.0
idle,4,local_nvme,,transparent-local,14.73210964538157,0.05621828605826283,0.0,0.0,0.09503051726463982,0,37.85000000000002,20.0,37.85000000000002,20.0
idle,4,remote_nof,,transparent-remote,2.533993967808783,0.12952169488389306,0.0,0.0,0.0,0,37.85000000000002,19.0,37.85000000000002,19.0
local50,1,local_nvme,,direct-local,14.690395785029978,0.15564388678703128,0.0,0.0,94.12952654475934,0,35.85000000000002,19.0,35.85000000000002,19.0
local50,1,remote_nof,,direct-remote,3.5197617979720235,0.15493372279635934,0.0,0.0,94.40979789923877,0,36.85000000000002,19.0,36.85000000000002,19.0
local50,1,,,no_store,0.08931423304602504,0.4156639684970466,0.0,0.0,97.40888661627707,0,35.85000000000002,19.0,35.85000000000002,19.0
local50,1,local_nvme,,transparent-local,14.69375264691189,0.15840525410676595,0.0,0.0,93.84940887036215,0,35.85000000000002,19.0,36.85000000000002,19.0
local50,1,remote_nof,,transparent-remote,3.5331815145909786,0.18975332068311196,0.0,0.0,94.4757575067984,0,36.85000000000002,19.0,36.85000000000002,19.0
local50,2,local_nvme,,direct-local,14.694069066084921,0.15524438685783765,0.0,0.0,94.37140888364365,0,36.85000000000002,22.0,36.85000000000002,21.0
local50,2,remote_nof,,direct-remote,2.513071918860078,0.18199069825320038,0.0,0.0,93.86917987886457,0,36.85000000000002,23.0,36.85000000000002,22.0
local50,2,,,no_store,0.09063532296568155,0.30165912518853694,0.0,0.0,90.47245303141771,0,36.85000000000002,24.0,36.85000000000002,23.0
local50,2,local_nvme,,transparent-local,14.722855200059712,0.16196116383699272,0.0,0.0,94.5808391835812,0,36.85000000000002,23.0,36.85000000000002,22.0
local50,2,remote_nof,,transparent-remote,3.5829253583215177,0.18872143951914214,0.0,0.0,93.86184928997389,0,36.85000000000002,24.0,36.85000000000002,23.0
local50,3,local_nvme,,direct-local,14.724078441038728,0.14842546864213266,0.0,0.0,94.63410600396807,0,36.85000000000002,23.0,36.85000000000002,22.0
local50,3,remote_nof,,direct-remote,2.547113054897636,0.20643873987951344,0.0,0.0,94.3421021449938,0,36.85000000000002,24.0,36.85000000000002,23.0
local50,3,,,no_store,0.08912072284147143,0.2850252137689103,0.0,0.0,94.25417267925417,0,36.85000000000002,24.0,36.85000000000002,23.0
local50,3,local_nvme,,transparent-local,14.721193100325763,0.1571913725302766,0.0,0.0,94.31300782062809,0,36.85000000000002,22.0,36.85000000000002,22.0
local50,3,remote_nof,,transparent-remote,2.539832640904933,0.21623202234654068,0.0,0.0,94.14006110056509,0,36.85000000000002,23.0,36.85000000000002,22.0
