scenario,trial,trace_sha256,case_id,mode,target,operations,p50_latency_us,p95_latency_us,p99_latency_us,operation_rate,produce,reuse,evict,miss,request_count,request_hit_rate,block_hit_rate,miss_rate,request_p50_latency_us,request_p95_latency_us,storage_wait_us,cpu_utilization_pct,local,remote
local90,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,526.39,1121.551,1678.07,1439.725858,52,44,52,0,24,0.458333,0.458333,0.0,3431.952,5247.11,102797.348,,148,0
local90,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,161.1,283.83,617.94,2578.374438,52,44,52,0,24,0.458333,0.458333,0.0,1042.182,1479.5,57400.507,,0,148
local90,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,544.61,1080.24,12590.426,1434.629929,52,44,52,0,24,0.458333,0.458333,0.0,3245.942,4894.143,103162.493,,148,0
local90,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,159.43,246.81,339.5,2438.650354,52,44,52,0,24,0.458333,0.458333,0.0,896.49,950.17,60689.307,,0,148
local90,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local90,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,525.52,1085.2,1719.271,1493.689002,52,44,52,0,24,0.458333,0.458333,0.0,3415.482,5030.104,99083.544,,148,0
local90,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,161.39,280.1,395.12,2451.009536,52,44,52,0,24,0.458333,0.458333,0.0,1020.65,1085.57,60383.282,,0,148
local90,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,553.951,970.671,13024.696,1487.06648,52,44,52,0,24,0.458333,0.458333,0.0,3198.112,4885.852,99524.804,,148,0
local90,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,160.08,239.491,326.17,2202.591969,52,44,52,0,24,0.458333,0.458333,0.0,906.18,945.661,67193.562,,0,148
local90,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local90,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,520.93,1165.15,6898.473,1529.827934,52,44,52,0,24,0.458333,0.458333,0.0,3443.873,5346.443,96742.906,,148,0
local90,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,157.49,283.7,374.93,2581.005332,52,44,52,0,24,0.458333,0.458333,0.0,1035.531,1121.67,57341.997,,0,148
local90,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,549.991,998.16,1797.121,1503.132304,52,44,52,0,24,0.458333,0.458333,0.0,3395.151,5001.353,98461.06,,148,0
local90,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,160.709,244.14,515.87,2814.492109,52,44,52,0,24,0.458333,0.458333,0.0,894.14,1191.93,52584.976,,0,148
local90,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
local90,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,522.98,1141.09,1876.681,1399.196579,52,44,52,0,24,0.458333,0.458333,0.0,3506.182,5239.043,105774.987,,148,0
local90,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,159.38,281.98,561.4,2608.715164,52,44,52,0,24,0.458333,0.458333,0.0,1024.582,1469.531,56732.909,,0,148
remote_stress,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,563.58,1216.14,9350.244,1436.903611,52,44,52,0,24,0.458333,0.458333,0.0,3291.351,5714.824,102999.254,,148,0
remote_stress,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,2414.172,2537.691,2597.571,525.148835,52,44,52,0,24,0.458333,0.458333,0.0,9994.245,10133.395,281824.866,,0,148
remote_stress,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
remote_stress,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,556.721,1285.39,11110.156,1357.120277,52,44,52,0,24,0.458333,0.458333,0.0,3425.731,5896.232,109054.446,,148,0
remote_stress,1,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,2397.301,2564.691,2609.472,538.996155,52,44,52,0,24,0.458333,0.458333,0.0,9898.955,10261.016,274584.519,,0,148
remote_stress,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,563.221,1144.891,10778.985,1396.278209,52,44,52,0,24,0.458333,0.458333,0.0,3312.162,5344.131,105996.068,,148,0
remote_stress,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,164.17,252.961,325.27,2439.975812,52,44,52,0,24,0.458333,0.458333,0.0,924.17,969.611,60656.339,,0,148
remote_stress,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
remote_stress,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,575.08,1318.29,7884.504,1450.280291,52,44,52,0,24,0.458333,0.458333,0.0,3394.81,6045.622,102049.239,,148,0
remote_stress,2,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,163.55,290.85,500.1,2178.360668,52,44,52,0,24,0.458333,0.458333,0.0,1067.28,1304.741,67940.999,,0,148
remote_stress,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,573.181,1244.261,14535.496,1333.813915,52,44,52,0,24,0.458333,0.458333,0.0,3401.632,5607.262,110960.006,,148,0
remote_stress,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,2416.492,2539.361,2640.181,514.962839,52,44,52,0,24,0.458333,0.458333,0.0,9972.565,10261.185,287399.379,,0,148
remote_stress,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
remote_stress,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,555.74,1223.741,8980.084,1417.503544,52,44,52,0,24,0.458333,0.458333,0.0,3350.402,6183.253,104408.91,,148,0
remote_stress,3,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,2413.261,2691.801,2744.721,525.237972,52,44,52,0,24,0.458333,0.458333,0.0,10123.186,10715.874,281777.038,,0,148
remote_stress,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-local,direct,local_nvme,148,574.85,1239.331,7761.994,1418.945826,52,44,52,0,24,0.458333,0.458333,0.0,3353.322,5324.872,104302.784,,148,0
remote_stress,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,direct-remote,direct,remote_nof,148,162.74,249.19,487.84,2690.0317,52,44,52,0,24,0.458333,0.458333,0.0,911.26,984.881,55017.939,,0,148
remote_stress,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,no_store,no_store,,148,1000.0,1000.0,1000.0,1541.666667,52,44,52,0,24,0.458333,0.458333,0.0,4000.0,4000.0,0,,0,0
remote_stress,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-local,transparent,local_nvme,148,557.99,1289.111,13642.137,1346.800587,52,44,52,0,24,0.458333,0.458333,0.0,3488.152,5811.352,109890.062,,148,0
remote_stress,4,3a49f1f79b9fdd5df28ad41190dfb5839524ef397052bae178b7f4e9b9d47051,transparent-remote,transparent,remote_nof,148,165.62,289.67,445.8,2256.985423,52,44,52,0,24,0.458333,0.458333,0.0,1065.7,1122.172,65574.194,,0,148
