scenario,trial,target,mode,case_id,operation,count,mean_us,p50_us,p95_us,p99_us
local50,4,remote_nof,direct,direct-remote,get,44,162.393886,160.03,174.73,186.62
local50,4,remote_nof,direct,direct-remote,put,52,814.384885,228.96,303.94,30105.185
local50,4,remote_nof,direct,direct-remote,remove,52,60.265423,59.091,66.47,86.13
local50,4,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local50,4,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local50,4,local_nvme,transparent,transparent-local,get,44,1075.809886,518.79,890.75,16828.539
local50,4,local_nvme,transparent,transparent-local,put,52,967.915538,913.371,1219.37,1758.541
local50,4,local_nvme,transparent,transparent-local,remove,52,58.378077,57.0,64.62,80.53
local50,4,remote_nof,transparent,transparent-remote,get,44,161.693318,160.181,172.9,185.36
local50,4,remote_nof,transparent,transparent-remote,put,52,1100.955788,262.291,425.1,43287.381
local50,4,remote_nof,transparent,transparent-remote,remove,52,60.071519,58.7,66.38,81.89
local90,1,local_nvme,direct,direct-local,get,44,1069.853477,548.44,1322.441,20021.28
local90,1,local_nvme,direct,direct-local,put,52,906.518481,843.91,1191.301,1681.581
local90,1,local_nvme,direct,direct-local,remove,52,58.705212,56.86,66.23,98.191
local90,1,remote_nof,direct,direct-remote,get,44,162.534205,161.05,170.7,199.9
local90,1,remote_nof,direct,direct-remote,put,52,951.024365,234.28,259.63,37362.878
local90,1,remote_nof,direct,direct-remote,remove,52,59.982365,58.59,65.98,87.72
local90,1,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local90,1,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local90,1,local_nvme,transparent,transparent-local,get,44,1138.759386,526.39,868.411,25587.052
local90,1,local_nvme,transparent,transparent-local,put,52,955.102558,888.56,1266.66,1678.07
local90,1,local_nvme,transparent,transparent-local,remove,52,58.203885,56.95,65.11,82.78
local90,1,remote_nof,transparent,transparent-remote,get,44,162.843909,161.1,179.17,184.95
local90,1,remote_nof,transparent,transparent-remote,put,52,905.996962,266.54,409.911,32901.585
local90,1,remote_nof,transparent,transparent-remote,remove,52,60.067942,58.95,64.5,85.111
local90,2,local_nvme,direct,direct-local,get,44,1208.937932,544.61,957.9,15778.228
local90,2,local_nvme,direct,direct-local,put,52,902.669288,847.261,1096.46,1779.101
local90,2,local_nvme,direct,direct-local,remove,52,58.277327,56.66,64.99,83.98
local90,2,remote_nof,direct,direct-remote,get,44,161.708045,159.43,173.631,182.64
local90,2,remote_nof,direct,direct-remote,put,52,970.163481,230.2,250.15,38503.408
local90,2,remote_nof,direct,direct-remote,remove,52,60.108692,58.76,68.96,82.46
local90,2,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local90,2,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local90,2,local_nvme,transparent,transparent-local,get,44,1051.878318,525.52,678.31,22885.391
local90,2,local_nvme,transparent,transparent-local,put,52,950.588404,887.85,1224.181,1719.271
local90,2,local_nvme,transparent,transparent-local,remove,52,64.813481,57.45,64.46,388.16
local90,2,remote_nof,transparent,transparent-remote,get,44,162.526909,161.39,175.49,186.67
local90,2,remote_nof,transparent,transparent-remote,put,52,962.661519,262.28,298.33,36467.198
local90,2,remote_nof,transparent,transparent-remote,remove,52,61.032673,59.29,69.36,85.26
local90,3,local_nvme,direct,direct-local,get,44,1149.099386,553.951,766.781,13142.676
local90,3,local_nvme,direct,direct-local,put,52,883.283096,825.061,1210.51,1683.831
local90,3,local_nvme,direct,direct-local,remove,52,58.340577,57.2,66.34,82.92
local90,3,remote_nof,direct,direct-remote,get,44,161.4865,160.08,172.22,183.13
local90,3,remote_nof,direct,direct-remote,put,52,1095.352827,229.77,267.13,45035.012
local90,3,remote_nof,direct,direct-remote,remove,52,60.188635,58.66,67.57,85.94
local90,3,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local90,3,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local90,3,local_nvme,transparent,transparent-local,get,44,1019.196773,520.93,1166.801,14492.596
local90,3,local_nvme,transparent,transparent-local,put,52,939.9145,876.001,1242.481,1757.881
local90,3,local_nvme,transparent,transparent-local,remove,52,58.128731,57.07,64.38,81.3
local90,3,remote_nof,transparent,transparent-remote,get,44,160.524864,157.49,172.93,208.141
local90,3,remote_nof,transparent,transparent-remote,put,52,906.306635,269.19,339.269,33240.046
local90,3,remote_nof,transparent,transparent-remote,remove,52,60.595346,59.31,66.9,83.97
local90,4,local_nvme,direct,direct-local,get,44,1075.739159,549.991,766.15,22375.391
local90,4,local_nvme,direct,direct-local,put,52,923.958404,875.041,1107.911,1797.121
local90,4,local_nvme,direct,direct-local,remove,52,59.282692,56.72,73.55,125.99
local90,4,remote_nof,direct,direct-remote,get,44,164.035705,160.709,186.109,218.511
local90,4,remote_nof,direct,direct-remote,put,52,812.742327,230.8,368.24,29965.794
local90,4,remote_nof,direct,direct-remote,remove,52,59.707769,58.54,63.87,85.12
local90,4,,no_store,no_store,noop,52,0.0,0.0,0.0,0.0
local90,4,,no_store,no_store,recompute,96,1000.0,1000.0,1000.0,1000.0
local90,4,local_nvme,transparent,transparent-local,get,44,1190.442977,522.98,790.42,28381.263
local90,4,local_nvme,transparent,transparent-local,put,52,968.398212,901.08,1319.9,1876.681
local90,4,local_nvme,transparent,transparent-local,remove,52,58.43825,57.18,64.67,83.66
local90,4,remote_nof,transparent,transparent-remote,get,44,163.326341,159.38,185.8,233.95
local90,4,remote_nof,transparent,transparent-remote,put,52,892.112346,262.501,439.971,32296.765
local90,4,remote_nof,transparent,transparent-remote,remove,52,60.705923,58.63,68.39,99.44
remote_stress,1,local_nvme,direct,direct-local,get,44,1142.44025,563.58,936.13,15691.787
remote_stress,1,local_nvme,direct,direct-local,put,52,952.834731,863.55,1311.401,2132.552
remote_stress,1,local_nvme,direct,direct-local,remove,52,61.239942,59.0,68.88,91.149
